"dataset","loci_name","alphabet","n_taxa","n_bp","pass_phi","pass_maxchi","pass_geneconv_inner","pass_geneconv_outer","pass_geneconv"
"Pease2016","ch04-s66100000","dna",29,26943,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch04-s66200000","dna",29,56380,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch04-s66300000","dna",29,51913,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch04-s66400000","dna",29,26871,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch04-s6700000","dna",29,9922,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch04-s6900000","dna",29,17333,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch04-s700000","dna",29,23139,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch04-s7000000","dna",29,22044,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch04-s7100000","dna",29,19442,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch04-s7200000","dna",29,11914,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch04-s7300000","dna",29,23113,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch04-s7700000","dna",29,16730,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch04-s7900000","dna",29,7935,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch04-s800000","dna",29,22980,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch04-s900000","dna",29,25414,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s0","dna",29,24391,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s100000","dna",29,38052,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s1000000","dna",29,29697,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s10000000","dna",29,8046,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s10300000","dna",29,8533,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s10700000","dna",29,10882,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s10800000","dna",29,5150,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s1100000","dna",29,33642,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s11500000","dna",29,7295,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s11600000","dna",29,7478,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s11700000","dna",29,5195,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s1200000","dna",29,23359,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s12300000","dna",29,3779,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s12500000","dna",29,5903,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s12900000","dna",29,9409,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s1300000","dna",29,37855,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s13000000","dna",29,11438,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s13600000","dna",29,4621,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s1400000","dna",29,18969,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s14300000","dna",29,1661,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s1500000","dna",29,28714,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s15200000","dna",29,4267,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s1600000","dna",29,38916,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s16100000","dna",29,8115,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s16800000","dna",29,5917,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s1700000","dna",29,23542,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s1800000","dna",29,14840,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s18700000","dna",29,6896,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s1900000","dna",29,18767,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s19000000","dna",29,7716,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s200000","dna",29,24761,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s2000000","dna",29,36120,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s20200000","dna",29,14596,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s20300000","dna",29,4831,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s20400000","dna",29,3952,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s20500000","dna",29,12962,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s20600000","dna",29,5081,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s2100000","dna",29,35285,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s2200000","dna",29,35652,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s22000000","dna",29,8821,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s22100000","dna",29,9620,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s22400000","dna",29,2801,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s22600000","dna",29,16145,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s2300000","dna",29,21000,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s23500000","dna",29,15955,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s23800000","dna",29,2862,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s2400000","dna",29,25169,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s2500000","dna",29,30548,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s25800000","dna",29,8146,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s2600000","dna",29,27870,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s2700000","dna",29,31793,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s2800000","dna",29,30650,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s28900000","dna",29,4171,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s2900000","dna",29,31396,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s29000000","dna",29,7380,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s29100000","dna",29,7992,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s29200000","dna",29,8918,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s29300000","dna",29,6639,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s300000","dna",29,21279,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s3000000","dna",29,30269,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s30200000","dna",29,6039,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s3100000","dna",29,44584,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s31000000","dna",29,4997,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s3200000","dna",29,35008,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s32800000","dna",29,2917,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s32900000","dna",29,4126,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s3300000","dna",29,18565,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s3400000","dna",29,20869,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s34000000","dna",29,2282,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s34400000","dna",29,3539,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s3500000","dna",29,16184,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s3600000","dna",29,13152,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s3700000","dna",29,19084,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s3800000","dna",29,26269,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s3900000","dna",29,24614,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s39600000","dna",29,4296,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s39700000","dna",29,6965,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s39800000","dna",29,5104,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s400000","dna",29,29802,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s4000000","dna",29,19108,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s40900000","dna",29,1939,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s4100000","dna",29,30805,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s41500000","dna",29,4616,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s41600000","dna",29,10063,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s41700000","dna",29,8169,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s4200000","dna",29,20826,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s42000000","dna",29,5996,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s4300000","dna",29,24625,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s43900000","dna",29,2826,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s4400000","dna",29,24659,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s45000000","dna",29,6023,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s4600000","dna",29,10184,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s4700000","dna",29,11879,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s4800000","dna",29,30285,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s4900000","dna",29,18096,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s500000","dna",29,28215,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s5000000","dna",29,13844,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s50200000","dna",29,4066,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s5100000","dna",29,18238,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s5200000","dna",29,18104,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s5300000","dna",29,22533,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s5400000","dna",29,13096,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s54100000","dna",29,2860,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s5500000","dna",29,32247,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s5600000","dna",29,24571,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s56500000","dna",29,9897,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s5700000","dna",29,27755,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s57100000","dna",29,12777,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s57300000","dna",29,4794,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s5800000","dna",29,36658,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s58500000","dna",29,13462,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s58800000","dna",29,9954,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s58900000","dna",29,6146,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s5900000","dna",29,24088,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s59000000","dna",29,26347,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s59500000","dna",29,7684,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s59700000","dna",29,9103,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s59800000","dna",29,13531,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s600000","dna",29,32828,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s60000000","dna",29,3269,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s60100000","dna",29,5097,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s60200000","dna",29,12290,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s60400000","dna",29,19078,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s60500000","dna",29,6129,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s60600000","dna",29,22653,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s60700000","dna",29,29678,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s60800000","dna",29,11406,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s6100000","dna",29,18253,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s61000000","dna",29,12579,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s61100000","dna",29,21890,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s61200000","dna",29,17978,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s61400000","dna",29,13505,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s61500000","dna",29,13165,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s61600000","dna",29,17342,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s61800000","dna",29,21474,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s61900000","dna",29,16462,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s6200000","dna",29,25055,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s62000000","dna",29,14258,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s62100000","dna",29,22851,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s62200000","dna",29,14585,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s62300000","dna",29,18812,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s62400000","dna",29,33631,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s62500000","dna",29,29804,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s62600000","dna",29,24468,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s62700000","dna",29,21408,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s62800000","dna",29,26535,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s62900000","dna",29,34561,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s6300000","dna",29,18436,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s63000000","dna",29,18550,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s63100000","dna",29,27157,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s63200000","dna",29,19464,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s63300000","dna",29,28487,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s63400000","dna",29,25843,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s63500000","dna",29,18233,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s63600000","dna",29,30677,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s63700000","dna",29,25851,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s63800000","dna",29,26828,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s63900000","dna",29,33389,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s6400000","dna",29,31058,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s64000000","dna",29,26143,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s64100000","dna",29,34552,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s64200000","dna",29,28903,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s64300000","dna",29,24015,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s64400000","dna",29,37032,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s64500000","dna",29,38604,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s64600000","dna",29,33411,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s64700000","dna",29,36552,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s64800000","dna",29,15937,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s64900000","dna",29,36411,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s6500000","dna",29,9516,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s65000000","dna",29,40188,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s65100000","dna",29,29513,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s65200000","dna",29,40419,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s65300000","dna",29,44310,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s65400000","dna",29,24435,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s65500000","dna",29,37719,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s65600000","dna",29,48552,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch05-s65700000","dna",29,30673,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s65800000","dna",29,25849,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s6600000","dna",29,7959,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s6700000","dna",29,25713,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s6800000","dna",29,8094,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s6900000","dna",29,15299,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch05-s700000","dna",29,29846,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch05-s7000000","dna",29,31143,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s7100000","dna",29,10226,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s7200000","dna",29,7997,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s7400000","dna",29,15582,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s7500000","dna",29,6184,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s7600000","dna",29,4066,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s7800000","dna",29,14380,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s7900000","dna",29,20333,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s800000","dna",29,32789,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s8000000","dna",29,11267,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s8100000","dna",29,10712,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch05-s8200000","dna",29,14568,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s8300000","dna",29,19198,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s8600000","dna",29,9794,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s8800000","dna",29,11162,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch05-s8900000","dna",29,11365,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch05-s900000","dna",29,10303,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch05-s9100000","dna",29,9158,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s9700000","dna",29,15264,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch05-s9900000","dna",29,8083,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch06-s0","dna",29,18962,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s100000","dna",29,20734,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch06-s1100000","dna",29,25914,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch06-s11500000","dna",29,9346,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch06-s1200000","dna",29,20401,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s12300000","dna",29,1153,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch06-s1300000","dna",29,33585,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch06-s13500000","dna",29,2585,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch06-s1400000","dna",29,17540,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch06-s1500000","dna",29,19460,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s15600000","dna",29,3658,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s15700000","dna",29,3181,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s1600000","dna",29,24150,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s1700000","dna",29,28678,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch06-s17000000","dna",29,7056,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s17900000","dna",29,4209,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s1800000","dna",29,31579,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s18100000","dna",29,4465,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s18900000","dna",29,4598,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch06-s1900000","dna",29,15470,FALSE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch06-s19300000","dna",29,7155,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s200000","dna",29,29117,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s2000000","dna",29,28735,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch06-s2100000","dna",29,31267,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s2200000","dna",29,14878,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch06-s23700000","dna",29,15093,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch06-s2400000","dna",29,15254,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s24000000","dna",29,12950,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch06-s24600000","dna",29,9276,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s2500000","dna",29,12664,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch06-s25300000","dna",29,9978,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s25400000","dna",29,15431,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch06-s25500000","dna",29,9341,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s25800000","dna",29,9696,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s25900000","dna",29,15961,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch06-s2600000","dna",29,29464,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s26600000","dna",29,5932,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s2700000","dna",29,28006,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch06-s27000000","dna",29,3037,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s27200000","dna",29,9856,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s2800000","dna",29,29169,TRUE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch06-s2900000","dna",29,15993,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s29600000","dna",29,5841,FALSE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s29800000","dna",29,6613,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch06-s300000","dna",29,15282,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s3000000","dna",29,23602,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch06-s30400000","dna",29,4860,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch06-s3100000","dna",29,20923,FALSE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch06-s31000000","dna",29,11996,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s31100000","dna",29,14651,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s31300000","dna",29,10756,TRUE,TRUE,FALSE,FALSE,FALSE
"Pease2016","ch06-s31700000","dna",29,4266,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch06-s31900000","dna",29,12411,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s3200000","dna",29,29384,FALSE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch06-s32000000","dna",29,16365,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch06-s32100000","dna",29,2810,TRUE,TRUE,TRUE,TRUE,TRUE
"Pease2016","ch06-s32200000","dna",29,3921,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch06-s32300000","dna",29,15651,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch06-s32400000","dna",29,6953,FALSE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch06-s32600000","dna",29,12306,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch06-s32700000","dna",29,11686,TRUE,FALSE,TRUE,FALSE,FALSE
"Pease2016","ch06-s32800000","dna",29,6902,TRUE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch06-s33100000","dna",29,10956,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch06-s33200000","dna",29,19348,TRUE,FALSE,TRUE,TRUE,TRUE
"Pease2016","ch06-s33400000","dna",29,6468,TRUE,TRUE,FALSE,TRUE,FALSE
